Brand,Model,Year,Age,Transmission,Owner,FuelType,PostedDate
Honda,City,2001,23,Manual,second,Petrol,24-Nov
Toyota,Innova,2009,15,Manual,second,Diesel,24-Jul
Volkswagen,VentoTest,2010,14,Manual,first,Diesel,24-Nov
Maruti Suzuki,Swift,2017,7,Manual,second,Diesel,24-Nov
Maruti Suzuki,Baleno,2019,5,Automatic,first,Petrol,24-Nov
BMW,X3,2014,10,Automatic,first,Diesel,24-Nov
Toyota,Innova,2014,10,Manual,second,Diesel,24-Nov
BMW,5 Series,2019,5,Automatic,second,Diesel,24-Nov
Maruti Suzuki,maruti-suzuki-dzire,2020,4,Manual,second,Petrol,24-Nov
Ford,Ecosport,2017,7,Manual,second,Petrol,24-Nov
Maruti Suzuki,Alto-K10,2018,6,Automatic,first,Petrol,24-Nov
Kia,Carnival,2021,3,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Swift-Dzire,2012,12,Manual,second,Petrol,24-Nov
Toyota,Corolla,2007,17,Automatic,second,Petrol,24-Nov
Mercedes-Benz,GLE COUPE,2021,3,Automatic,second,Petrol,24-Oct
Hyundai,Xcent,2018,6,Manual,second,Diesel,24-Nov
Kia,Seltos,2020,4,Manual,first,Diesel,24-Oct
Maruti Suzuki,Ertiga,2016,8,Manual,second,Diesel,24-Nov
Maruti Suzuki,Ertiga,2017,7,Automatic,second,Petrol,24-Nov
BMW,3 Series GT,2015,9,Automatic,second,Diesel,24-Nov
Ford,Endeavour,2019,5,Automatic,second,Diesel,24-Nov
Toyota,Innova Crysta,2017,7,Automatic,first,Diesel,24-Nov
Honda,City,2010,14,Manual,first,Petrol,24-Nov
Audi,A3,2015,9,Automatic,second,Diesel,24-Nov
Renault,KWID,2019,5,Automatic,second,Petrol,24-Nov
MG,Hector,2019,5,Automatic,first,Petrol,24-Oct
Maruti Suzuki,Swift-Dzire,2012,12,Manual,second,Diesel,24-Nov
Maruti Suzuki,Celerio,2014,10,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Vitara-Brezza,2018,6,Manual,first,Diesel,24-Nov
Toyota,2.8 Legender 4X2,2023,1,Automatic,first,Diesel,24-Nov
Toyota,Innova Crysta,2017,7,Manual,second,Diesel,24-Nov
Toyota,Innova,2011,13,Manual,second,Diesel,24-Nov
Volvo,S90,2018,6,Automatic,first,Diesel,24-Nov
Hyundai,Venue,2021,3,Manual,first,Petrol,24-Nov
Maruti Suzuki,Ertiga,2018,6,Manual,second,Petrol,24-Nov
Hyundai,Creta,2023,1,Automatic,first,Petrol,24-Nov
Hyundai,Alcazar,2022,2,Manual,second,Diesel,24-Nov
Hyundai,i20,2019,5,Manual,first,Petrol,24-Nov
Mercedes-Benz,E-Class,2019,5,Automatic,first,Diesel,24-Oct
Volkswagen,Polo,2021,3,Manual,second,Petrol,24-Nov
Maruti Suzuki,Baleno,2018,6,Manual,second,Petrol,24-Nov
Hyundai,Verna,2016,8,Manual,second,Diesel,24-Nov
Audi,A4,2012,12,Automatic,second,Diesel,24-Aug
Toyota,Fortuner,2011,13,Manual,second,Diesel,24-Nov
